Date,"Michael Jackson","Lady Gaga","Eminem","Justin Bieber","Freddie Mercury","Miley Cyrus","Taylor Swift","Lil Wayne","Selena Gomez","Rihanna"
2020-03-25,16958,11958,14168,12495,27211,12548,15253,5636,10593,9279
2020-03-26,17479,12166,15662,17268,26502,12659,13716,6251,12031,10264
2020-03-27,18648,14337,15522,14208,36747,12753,14186,5760,11729,14825
2020-03-28,19278,23893,15723,13762,34703,12803,15106,6562,11688,12956
2020-03-29,21386,20303,18179,14495,46820,13456,15339,6586,12828,15749
2020-03-30,31214,17442,19140,13977,29687,11369,13647,7852,11970,17177
2020-03-31,22485,12330,31137,14354,22366,11134,12525,9621,13230,17666
2020-04-01,22785,12235,20356,13909,28156,11688,12434,8834,12505,13321
2020-04-02,19943,12634,15924,15016,25300,14902,13042,8690,11890,12234
2020-04-03,20362,12463,15579,13918,41223,13468,12927,7104,12394,11786
2020-04-04,21993,14648,16151,14352,37934,23275,14072,7337,17732,11995
2020-04-05,21363,16083,15726,18655,30901,17273,14924,7600,14386,12194
2020-04-06,21262,17837,17224,14532,30198,15800,12495,7279,12854,11425
2020-04-07,19631,33051,17577,16010,20998,13619,13607,7500,12816,11043
2020-04-08,19087,21626,15436,14385,25922,11726,13345,6977,11978,11288
2020-04-09,20012,19703,15975,13535,31266,12025,13313,8385,16899,11671
2020-04-10,30375,16995,17072,14770,29125,13561,14056,7697,18463,16499
2020-04-11,23188,17390,16765,15640,50793,13464,15188,7742,18923,15909
2020-04-12,23726,20373,16447,15478,48812,15383,14732,7541,15885,15350
2020-04-13,21761,17750,15897,15055,29502,16646,14068,7831,16599,13923
2020-04-14,21004,15028,15363,14195,21289,14126,13514,8145,16061,12547
2020-04-15,20266,13429,15374,13598,21106,11469,12688,11662,15283,11891
2020-04-16,19898,17225,15178,15071,27330,11777,12205,7620,13469,11960
2020-04-17,21343,17778,16459,16212,33586,15369,14318,6888,14441,12910
2020-04-18,23371,27967,16827,14855,42537,15729,17253,7896,14565,13028
2020-04-19,28701,92984,15943,15673,69007,15851,62697,7825,12734,12676
2020-04-20,24551,29690,15066,14514,29621,13555,20439,6936,11134,12186
2020-04-21,24851,18492,22363,15197,23446,12129,16528,8696,11481,12529
2020-04-22,25433,19070,18571,14099,21466,11670,14872,8437,12829,11815
2020-04-23,21340,22109,17385,13677,25307,13060,16115,9247,11418,12180
2020-04-24,22054,16601,17133,12996,26887,13039,17617,8351,11156,11978
2020-04-25,24053,16339,17183,14628,27502,16677,17721,8238,13057,12608
2020-04-26,27152,18151,17412,15346,34615,30406,16866,7745,13651,12535
2020-04-27,22061,15274,15210,21686,24131,20571,15065,6917,12330,11729
2020-04-28,22875,12687,14848,25040,18249,15839,15096,8628,11954,11489
2020-04-29,23839,13236,14939,19417,20010,15092,14750,7199,15071,11037
2020-04-30,23285,13368,18699,14305,18848,13552,15529,7264,12479,12539
2020-05-01,23229,13682,19724,14269,23165,13385,15221,6988,11864,13998
2020-05-02,22703,14190,18151,24613,31443,14322,15288,7852,12717,15516
2020-05-03,24106,14972,16976,17729,28137,13753,14981,8260,13677,14046
2020-05-04,23181,12860,15818,21600,26045,13011,13304,7070,12691,11850
2020-05-05,21860,13270,15494,24622,17697,12536,12981,7421,12287,12702
2020-05-06,21952,15077,15468,19535,24383,13093,13136,7350,12067,11667
2020-05-07,21262,15343,15022,14821,19438,12225,12789,7137,10716,11663
2020-05-08,21995,14111,20036,19782,20597,11624,13950,7414,13728,11809
2020-05-09,22946,14768,17272,18979,24606,11853,13617,8734,14847,13682
2020-05-10,22047,14456,21844,17416,24998,15419,13933,8633,13797,11831
2020-05-11,21644,12648,15269,19399,18900,12956,14266,7277,14237,11756
2020-05-12,20253,12180,14163,16353,20192,10499,13147,7932,11647,12184
2020-05-13,19464,12120,17277,14310,20576,10396,12719,7904,11537,25271
2020-05-14,20567,13008,17936,15231,18444,10320,12559,9725,10277,14884
2020-05-15,20793,13686,17836,20336,27038,11742,12958,8069,10452,13311
2020-05-16,22075,15610,15788,21924,31044,12649,14598,7582,10907,16058
2020-05-17,21041,15148,15755,20446,29712,12435,15256,8211,11273,15330
2020-05-18,21623,13305,14495,18454,19728,13920,71038,7324,11810,12425
2020-05-19,20780,12773,14366,19867,17948,12623,23765,9883,10874,11347
2020-05-20,20015,12364,14420,20442,21824,12930,17629,8284,11549,10876
2020-05-21,20271,14434,16646,21462,17334,12674,15710,8706,10878,11299
2020-05-22,20506,39359,15762,17137,18755,12310,15059,7965,11221,11646
2020-05-23,21842,42147,19296,19640,29897,12268,15581,8328,11658,12364
2020-05-24,24796,29883,17986,17578,37587,13735,14862,8974,11719,14163
2020-05-25,21436,24848,16622,15411,35095,14274,17238,8593,11492,13827
2020-05-26,20371,22758,16746,14858,22051,13635,15630,7909,10929,11812
2020-05-27,19519,21837,15632,16664,18422,11991,13202,6782,10205,11545
2020-05-28,18789,37490,15017,14458,18660,10179,12822,6509,10046,11419
2020-05-29,20169,76197,14060,13924,18860,10042,16079,8356,10657,12633
2020-05-30,21780,44148,14482,12859,23300,11161,19628,23297,9880,11891
2020-05-31,21564,32730,16453,12327,27305,11099,15568,17650,9748,10786
2020-06-01,22005,28488,12858,12109,16526,9907,12654,7966,9023,10064
2020-06-02,22038,23721,12011,11496,14220,9104,11155,7464,8918,10600
2020-06-03,22113,21404,12597,11186,14814,8601,11007,8233,9013,10293
2020-06-04,22093,22839,13333,11331,16999,8644,11154,7956,8683,10299
2020-06-05,21630,25340,13864,11500,26465,9157,11228,7634,9902,10463
2020-06-06,23551,24057,14391,12623,22402,10229,11985,8510,11195,11931
2020-06-07,23747,23116,13972,13474,22359,10638,14435,9068,12431,13297
2020-06-08,21160,21858,13383,12783,22967,9613,12361,10246,11384,10905
2020-06-09,22347,19593,13118,12148,16539,9200,11152,10882,10646,10589
2020-06-10,21186,18686,14026,11988,16057,9270,11315,9684,10779,10520
2020-06-11,22110,19635,13379,11288,16770,8796,11345,8982,10597,10499
2020-06-12,21500,17798,13171,11434,18222,9195,12421,8796,9942,10548
2020-06-13,25471,19805,13113,12038,22796,10064,17389,8815,10795,10688
2020-06-14,24959,18787,14522,11683,27184,10648,14629,9328,10510,11005
2020-06-15,22159,16503,14963,11246,25541,8677,12059,9658,9546,10122
2020-06-16,19736,16063,13199,11128,18053,8854,11997,11301,9541,10094
2020-06-17,19399,14861,15034,11285,16999,8958,11226,9598,9373,9747
2020-06-18,19339,15445,12757,11469,22379,9283,10832,9142,9396,9821
2020-06-19,19925,15384,13645,11062,23601,8767,11606,8472,9885,10511
2020-06-20,20788,15892,13925,11606,26647,9546,10991,8100,11119,11128
2020-06-21,21425,20092,13569,17625,30178,9324,13812,8478,10361,11416
2020-06-22,20779,14788,13941,40034,21268,9170,10889,8618,13028,10702
2020-06-23,20086,12973,13241,17884,17441,9802,11489,9328,10599,10822
2020-06-24,20900,12143,12637,13871,17527,12368,10137,8830,9593,10681
2020-06-25,52666,12762,12387,12018,17774,11133,10525,8906,9088,9881
2020-06-26,43868,14996,12812,13895,20076,9930,10736,9406,10516,11586
2020-06-27,29870,16973,15509,15138,39530,12606,11919,9062,11335,11755
2020-06-28,27679,30580,16052,16490,27450,17947,12243,9085,11862,11454
2020-06-29,22303,15275,12631,12827,22246,11277,11441,11509,10026,10544
2020-06-30,21799,14256,12951,12697,17457,11257,10650,8946,10027,10309
2020-07-01,22883,12718,12129,11049,19353,9991,10059,7865,9177,10578
2020-07-02,23783,11593,12195,11167,17092,9445,10003,7616,9088,10288
2020-07-03,21948,12042,12429,11038,21460,9393,10303,10493,9443,9852
2020-07-04,21084,13262,12560,11685,24235,10801,10388,8856,9304,11319
2020-07-05,20708,12676,12956,11364,24382,11919,12570,8776,9593,11807
2020-07-06,18969,11377,12076,10722,20692,15348,11132,8840,9663,10032
2020-07-07,18586,10470,12903,10252,15605,19656,10379,8820,9057,9969
2020-07-08,20009,10622,13251,10878,18207,13309,10542,8099,8984,10052
2020-07-09,21763,10971,13670,13689,18697,10562,11179,7844,9529,10973
2020-07-10,19918,11397,18015,11714,17494,10252,10476,8934,9407,10576
2020-07-11,19715,12819,16157,12072,25332,10624,11158,8439,10586,10731
2020-07-12,22153,13526,14528,11648,28788,11016,10921,7703,10302,11297
2020-07-13,38784,12206,13112,11959,22965,12099,10510,6986,10317,10224
2020-07-14,26624,11443,12637,11890,18475,11105,10200,6938,10353,12331
2020-07-15,22104,11544,12561,15623,19723,10783,10148,6735,10448,12076
2020-07-16,20195,11629,12837,13523,16625,12492,10274,6815,10515,11108
2020-07-17,20619,16170,13798,13054,18968,10793,10899,7665,10274,11500
2020-07-18,23925,15063,13709,13344,34054,10483,10614,8757,11064,12470
2020-07-19,24596,14704,13720,15922,25571,10723,11210,8522,10927,12580
2020-07-20,20529,12079,15837,12637,20631,11440,10419,8274,10437,13336
2020-07-21,19347,12354,13046,12491,16572,9803,10710,7678,11065,12326
2020-07-22,20143,11240,14016,13217,17306,9530,10833,7753,25804,11643
2020-07-23,19929,11440,14582,13622,28012,10572,68033,7476,20760,11649
2020-07-24,20426,11388,14336,14579,18248,9993,173185,7769,13696,11258
2020-07-25,22097,12799,14287,15063,30196,10384,89449,8335,11859,11964
2020-07-26,22455,12848,13885,15124,23149,10293,64128,7975,11200,11639
2020-07-27,21157,11383,13112,14626,16603,9915,55091,7763,11012,11367
2020-07-28,18852,11051,12309,17033,15364,9612,43078,7371,11829,12819
2020-07-29,18612,10340,12892,16341,13982,9105,36691,9351,9986,11986
2020-07-30,17718,11387,14498,12716,14158,8157,36205,8035,10218,14149
2020-07-31,18293,12902,14275,13297,17429,8679,34023,7466,9266,14177
2020-08-01,19056,12222,13677,12184,24865,9348,30738,7168,8903,12596
2020-08-02,20082,13701,14188,12231,20768,9700,29726,6997,9171,12394
2020-08-03,18590,13596,13323,11864,20220,8585,33823,6593,9617,11029
2020-08-04,17029,11640,12923,11630,14231,8266,28691,6269,9532,12326
2020-08-05,17380,10469,12563,10976,13862,11817,24014,6863,10331,12469
2020-08-06,17534,13737,12752,12985,19412,10861,22781,7948,11026,18454
2020-08-07,17722,15687,13091,12376,20802,9913,21992,7160,10216,14207
2020-08-08,18566,16962,14245,13970,20245,10675,22254,6881,10799,13889
2020-08-09,20249,16816,14618,13387,20670,11663,21657,7545,11612,13992
2020-08-10,18356,13986,13223,12337,18210,10470,20121,6608,14216,12629
2020-08-11,17688,12636,12983,12805,17711,10350,18115,6475,11494,12737
2020-08-12,17544,11800,12056,11593,13937,10136,19119,6156,13224,10990
2020-08-13,17651,12393,12474,11645,14574,17416,18378,6698,11848,10831
2020-08-14,21852,12566,12382,11447,16953,72469,17319,6746,11872,11585
2020-08-15,20982,13431,13315,12771,21670,47229,19692,8068,11788,13329
2020-08-16,20770,14701,17372,13746,21157,32056,24085,8488,11788,13128
2020-08-17,18197,12918,13125,13710,14937,23861,20252,6927,11150,12310
2020-08-18,18880,11691,15894,12201,12562,20067,18540,6847,10733,11721
2020-08-19,19063,12078,24302,12037,13186,17273,16839,6339,9893,10691
2020-08-20,17901,13057,16462,12155,14676,16155,17251,5730,11130,10275
2020-08-21,19640,15766,14289,11713,15314,15279,23875,6786,12470,10626
2020-08-22,21466,17041,13921,11528,20976,16318,18944,6513,12165,11405
2020-08-23,20599,18840,13837,12467,20741,19885,18034,6171,11516,10747
2020-08-24,20002,16440,12610,15796,14888,15570,17248,5626,11955,10029
2020-08-25,18704,16970,11916,13569,15681,13379,15982,6107,11396,9690
2020-08-26,18471,15420,13227,11768,15097,14202,15353,5778,12257,11834
2020-08-27,20067,15085,14908,11422,16248,15033,15602,9441,15136,14239
2020-08-28,23358,16171,14241,11970,20848,13079,15152,18170,23313,11808
2020-08-29,61630,18318,13976,12566,21441,14677,15638,10671,19638,11384
2020-08-30,45075,19304,13442,12226,24382,15963,15840,8472,17900,11088
2020-08-31,26653,67191,13403,12898,15742,30303,18070,7174,15779,10899
2020-09-01,22299,26047,12850,12712,15283,21197,14710,8146,13976,14842
