Name,DOB,AgeIn2021
Abraham Lincoln,2/12/1809,212
Arsenio Hall,2/12/1955,66
Bill Russell,2/12/1934,87
Charles Darwin,2/12/1809,212
Christina Ricci,2/12/1980,41
Dom DiMaggio,2/12/1917,104
Franco Zeffirelli,2/12/1923,98
Joanna Kerns,2/12/1953,68
Joe Garagiola,2/12/1926,95
Judy Blume,2/12/1938,83
Lorne Greene,2/12/1915,106
Naseem Hamed,2/12/1974,47
Ray Manzarek,2/12/1939,82
Ted Mack,2/12/1904,117
